# Matter correlation function
# Engine: CLASS
# Cosmology: Planck15
# Redshift: z = 1.
# Transformed: True
# Transformer: nbodykit.cosmology.correlation
# Transform options: extrap=True
# [0] r, [1] xi
5.005545146e-01 3.467888459e+00
5.050770471e-01 3.443960280e+00
5.096404409e-01 3.422308682e+00
5.142450651e-01 3.402021601e+00
5.188912923e-01 3.381213361e+00
5.235794984e-01 3.358493883e+00
5.283100627e-01 3.334100079e+00
5.330833678e-01 3.309734980e+00
5.378997999e-01 3.287183637e+00
5.427597487e-01 3.266802008e+00
5.476636074e-01 3.247181516e+00
5.526117727e-01 3.226340858e+00
5.576046448e-01 3.203477027e+00
5.626426278e-01 3.179713576e+00
5.677261291e-01 3.157110142e+00
5.728555602e-01 3.136755538e+00
5.780313359e-01 3.117715201e+00
5.832538749e-01 3.097888908e+00
5.885235998e-01 3.076048862e+00
5.938409369e-01 3.053079243e+00
5.992063164e-01 3.031124356e+00
6.046201724e-01 3.011402457e+00
6.100829427e-01 2.992913333e+00
6.155950695e-01 2.973455861e+00
6.211569985e-01 2.951985960e+00
6.267691799e-01 2.929783798e+00
6.324320675e-01 2.909070975e+00
6.381461196e-01 2.890505155e+00
6.439117984e-01 2.872393539e+00
6.497295704e-01 2.852628651e+00
6.555999062e-01 2.831190596e+00
6.615232807e-01 2.810207141e+00
6.675001732e-01 2.791380764e+00
6.735310672e-01 2.773853090e+00
6.796164506e-01 2.755248584e+00
6.857568157e-01 2.734704242e+00
6.919526593e-01 2.714027185e+00
6.982044826e-01 2.695336937e+00
7.045127914e-01 2.678211544e+00
7.108780961e-01 2.660219464e+00
7.173009116e-01 2.640272746e+00
7.237817575e-01 2.620184869e+00
7.303211581e-01 2.602116416e+00
7.369196425e-01 2.585427239e+00
7.435777445e-01 2.567580881e+00
7.502960028e-01 2.547924461e+00
7.570749608e-01 2.528716483e+00
7.639151670e-01 2.511668745e+00
7.708171748e-01 2.495246888e+00
7.777815426e-01 2.477068952e+00
7.848088337e-01 2.457756097e+00
7.918996167e-01 2.439950637e+00
7.990544652e-01 2.423933799e+00
8.062739581e-01 2.407112775e+00
8.135586795e-01 2.388443291e+00
8.209092187e-01 2.370269752e+00
8.283261703e-01 2.354219140e+00
8.358101344e-01 2.338264324e+00
8.433617164e-01 2.320376552e+00
8.509815273e-01 2.302274815e+00
8.586701836e-01 2.286246712e+00
8.664283072e-01 2.270796762e+00
8.742565258e-01 2.253493320e+00
8.821554727e-01 2.235716535e+00
8.901257870e-01 2.219959953e+00
8.981681134e-01 2.204816163e+00
9.062831025e-01 2.187814532e+00
9.144714110e-01 2.170523004e+00
9.227337012e-01 2.155295863e+00
9.310706416e-01 2.140266327e+00
9.394829066e-01 2.123340565e+00
9.479711768e-01 2.106770291e+00
9.565361389e-01 2.092198091e+00
9.651784858e-01 2.076959889e+00
9.738989167e-01 2.060121173e+00
9.826981370e-01 2.044638616e+00
9.915768588e-01 2.030478164e+00
1.000535800e+00 2.014675155e+00
1.009575686e+00 1.998429485e+00
1.018697248e+00 1.984206363e+00
1.027901223e+00 1.969682324e+00
1.037188357e+00 1.953509579e+00
1.046559400e+00 1.938719565e+00
1.056015111e+00 1.924991294e+00
1.065556255e+00 1.909477617e+00
1.075183603e+00 1.894243190e+00
1.084897935e+00 1.880806060e+00
1.094700037e+00 1.866066990e+00
1.104590701e+00 1.850714139e+00
1.114570727e+00 1.837326625e+00
1.124640924e+00 1.823221618e+00
1.134802105e+00 1.807988061e+00
1.145055093e+00 1.794648595e+00
1.155400717e+00 1.780970694e+00
1.165839814e+00 1.765969376e+00
1.176373229e+00 1.752782006e+00
1.187001814e+00 1.739350665e+00
1.197726429e+00 1.724615342e+00
1.208547941e+00 1.711716546e+00
1.219467226e+00 1.698353829e+00
1.230485167e+00 1.683945222e+00
1.241602655e+00 1.671416789e+00
1.252820591e+00 1.657954324e+00
1.264139881e+00 1.644014712e+00
1.275561442e+00 1.631819271e+00
1.287086197e+00 1.618129153e+00
1.298715078e+00 1.604918998e+00
1.310449027e+00 1.592771739e+00
1.322288993e+00 1.578972420e+00
1.334235933e+00 1.566666775e+00
1.346290815e+00 1.554111212e+00
1.358454613e+00 1.540716040e+00
1.370728311e+00 1.529047260e+00
1.383112903e+00 1.515862639e+00
1.395609390e+00 1.503573020e+00
1.408218783e+00 1.491610133e+00
1.420942103e+00 1.478534201e+00
1.433780379e+00 1.467171099e+00
1.446734649e+00 1.454362260e+00
1.459805961e+00 1.442543975e+00
1.472995373e+00 1.430716854e+00
1.486303953e+00 1.418217500e+00
1.499732775e+00 1.407135913e+00
1.513282928e+00 1.394498109e+00
1.526955507e+00 1.383502438e+00
1.540751619e+00 1.371329246e+00
1.554672379e+00 1.359979133e+00
1.568718914e+00 1.348501633e+00
1.582892359e+00 1.336759571e+00
1.597193863e+00 1.325863513e+00
1.611624581e+00 1.313933769e+00
1.626185681e+00 1.303376018e+00
1.640878342e+00 1.291494418e+00
1.655703751e+00 1.281070182e+00
1.670663109e+00 1.269393704e+00
1.685757625e+00 1.258992669e+00
1.700988521e+00 1.247586082e+00
1.716357028e+00 1.237177327e+00
1.731864391e+00 1.226043501e+00
1.747511863e+00 1.215640124e+00
1.763300711e+00 1.204753801e+00
1.779232212e+00 1.194384357e+00
1.795307655e+00 1.183714170e+00
1.811528340e+00 1.173407042e+00
1.827895580e+00 1.162925672e+00
1.844410699e+00 1.152703198e+00
