# Matter correlation function
# Engine: CLASS
# Cosmology: Planck15
# Redshift: z = 1.
# Transformed: True
# Transformer: nbodykit.cosmology.correlation
# Transform options: extrap=True
# [0] r, [1] xi
5.002783810e-01 3.468749468e+00
5.025333178e-01 3.456713190e+00
5.047984186e-01 3.445243634e+00
5.070737289e-01 3.434342727e+00
5.093592949e-01 3.423903576e+00
5.116551628e-01 3.413730687e+00
5.139613790e-01 3.403579176e+00
5.162779901e-01 3.393204795e+00
5.186050431e-01 3.382415207e+00
5.209425849e-01 3.371111144e+00
5.232906629e-01 3.359308884e+00
5.256493245e-01 3.347138089e+00
5.280186175e-01 3.334815271e+00
5.303985897e-01 3.322597366e+00
5.327892894e-01 3.310725657e+00
5.351907648e-01 3.299371668e+00
5.376030645e-01 3.288597843e+00
5.400262373e-01 3.278341829e+00
5.424603323e-01 3.268429258e+00
5.449053986e-01 3.258612377e+00
5.473614857e-01 3.248626909e+00
5.498286433e-01 3.238253743e+00
5.523069213e-01 3.227371557e+00
5.547963698e-01 3.215986913e+00
5.572970391e-01 3.204234442e+00
5.598089799e-01 3.192345572e+00
5.623322428e-01 3.180593101e+00
5.648668791e-01 3.169224022e+00
5.674129399e-01 3.158397623e+00
5.699704767e-01 3.148144067e+00
5.725395412e-01 3.138355195e+00
5.751201855e-01 3.128810336e+00
5.777124617e-01 3.119232094e+00
5.803164222e-01 3.109357862e+00
5.829321197e-01 3.099009285e+00
5.855596071e-01 3.088140560e+00
5.881989375e-01 3.076852518e+00
5.908501644e-01 3.065367070e+00
5.935133413e-01 3.053968362e+00
5.961885221e-01 3.042925209e+00
5.988757609e-01 3.032416419e+00
6.015751121e-01 3.022479415e+00
6.042866303e-01 3.012997996e+00
6.070103702e-01 3.003733333e+00
6.097463871e-01 2.994391202e+00
6.124947361e-01 2.984706454e+00
6.152554730e-01 2.974521072e+00
6.180286536e-01 2.963832015e+00
6.208143338e-01 2.952794198e+00
6.236125702e-01 2.941675802e+00
6.264234192e-01 2.930778567e+00
6.292469377e-01 2.920345814e+00
6.320831828e-01 2.910486807e+00
6.349322120e-01 2.901140908e+00
6.377940827e-01 2.892094588e+00
6.406688530e-01 2.883046935e+00
6.435565809e-01 2.873704773e+00
6.464573248e-01 2.863877042e+00
6.493711434e-01 2.853538290e+00
6.522980957e-01 2.842838937e+00
6.552382408e-01 2.832057858e+00
6.581916383e-01 2.821510788e+00
6.611583477e-01 2.811444664e+00
6.641384292e-01 2.801952754e+00
6.671319431e-01 2.792940926e+00
6.701389497e-01 2.784157663e+00
6.731595101e-01 2.775279862e+00
6.761936852e-01 2.766025364e+00
6.792415364e-01 2.756253649e+00
6.823031255e-01 2.746017693e+00
6.853785142e-01 2.735547386e+00
6.884677648e-01 2.725167885e+00
6.915709398e-01 2.715181524e+00
6.946881019e-01 2.705755376e+00
6.978193142e-01 2.696857281e+00
7.009646401e-01 2.688265324e+00
7.041241430e-01 2.679649986e+00
7.072978870e-01 2.670699014e+00
7.104859362e-01 2.661238561e+00
7.136883551e-01 2.651302563e+00
7.169052085e-01 2.641122071e+00
7.201365614e-01 2.631035760e+00
7.233824792e-01 2.621355735e+00
7.266430276e-01 2.612240927e+00
7.299182724e-01 2.603630567e+00
7.332082799e-01 2.595266300e+00
7.365131167e-01 2.586797021e+00
7.398328496e-01 2.577924420e+00
7.431675457e-01 2.568529627e+00
7.465172726e-01 2.558725810e+00
7.498820978e-01 2.548812567e+00
7.532620896e-01 2.539148278e+00
7.566573162e-01 2.529994432e+00
7.600678463e-01 2.521399045e+00
7.634937490e-01 2.513172873e+00
7.669350934e-01 2.504971166e+00
7.703919492e-01 2.496447796e+00
7.738643864e-01 2.487412911e+00
7.773524751e-01 2.477922298e+00
7.808562858e-01 2.468254285e+00
7.843758895e-01 2.458782294e+00
7.879113574e-01 2.449799531e+00
7.914627609e-01 2.441378530e+00
7.950301718e-01 2.433333479e+00
7.986136624e-01 2.425307260e+00
8.022133051e-01 2.416943698e+00
8.058291726e-01 2.408063247e+00
8.094613383e-01 2.398754166e+00
8.131098754e-01 2.389331611e+00
8.167748577e-01 2.380180780e+00
8.204563595e-01 2.371561398e+00
8.241544552e-01 2.363472418e+00
