# Matter correlation function
# Engine: CLASS
# Cosmology: Planck15
# Redshift: z = 1.
# Transformed: True
# Transformer: nbodykit.cosmology.correlation
# Transform options: extrap=False
# [0] r, [1] xi
5.002783810e-01 2.320329364e+00
5.025333178e-01 2.319274043e+00
5.047984186e-01 2.318209395e+00
5.070737289e-01 2.317136941e+00
5.093592949e-01 2.316054446e+00
5.116551628e-01 2.314963865e+00
5.139613790e-01 2.313861947e+00
5.162779901e-01 2.312751471e+00
5.186050431e-01 2.311631488e+00
5.209425849e-01 2.310501958e+00
5.232906629e-01 2.309362878e+00
5.256493245e-01 2.308213269e+00
5.280186175e-01 2.307053755e+00
5.303985897e-01 2.305885255e+00
5.327892894e-01 2.304706098e+00
5.351907648e-01 2.303518147e+00
5.376030645e-01 2.302318906e+00
5.400262373e-01 2.301109791e+00
5.424603323e-01 2.299889924e+00
5.449053986e-01 2.298659540e+00
5.473614857e-01 2.297419229e+00
5.498286433e-01 2.296168899e+00
5.523069213e-01 2.294907797e+00
5.547963698e-01 2.293636262e+00
5.572970391e-01 2.292353363e+00
5.598089799e-01 2.291060143e+00
5.623322428e-01 2.289755523e+00
5.648668791e-01 2.288439657e+00
5.674129399e-01 2.287112372e+00
5.699704767e-01 2.285774651e+00
5.725395412e-01 2.284425809e+00
5.751201855e-01 2.283065984e+00
5.777124617e-01 2.281694262e+00
5.803164222e-01 2.280311089e+00
5.829321197e-01 2.278915933e+00
5.855596071e-01 2.277509465e+00
5.881989375e-01 2.276090490e+00
5.908501644e-01 2.274660768e+00
5.935133413e-01 2.273218348e+00
5.961885221e-01 2.271764416e+00
5.988757609e-01 2.270298216e+00
6.015751121e-01 2.268819688e+00
6.042866303e-01 2.267328742e+00
6.070103702e-01 2.265826207e+00
6.097463871e-01 2.264309948e+00
6.124947361e-01 2.262781928e+00
6.152554730e-01 2.261241159e+00
6.180286536e-01 2.259687427e+00
6.208143338e-01 2.258120805e+00
6.236125702e-01 2.256541370e+00
6.264234192e-01 2.254948691e+00
6.292469377e-01 2.253343719e+00
6.320831828e-01 2.251725257e+00
6.349322120e-01 2.250093073e+00
6.377940827e-01 2.248447345e+00
6.406688530e-01 2.246788442e+00
6.435565809e-01 2.245115884e+00
6.464573248e-01 2.243429631e+00
6.493711434e-01 2.241729510e+00
6.522980957e-01 2.240015848e+00
6.552382408e-01 2.238288006e+00
6.581916383e-01 2.236545841e+00
6.611583477e-01 2.234789085e+00
6.641384292e-01 2.233018506e+00
6.671319431e-01 2.231233578e+00
6.701389497e-01 2.229434283e+00
6.731595101e-01 2.227620113e+00
6.761936852e-01 2.225791425e+00
6.792415364e-01 2.223947652e+00
6.823031255e-01 2.222089128e+00
6.853785142e-01 2.220215387e+00
6.884677648e-01 2.218326889e+00
6.915709398e-01 2.216422966e+00
6.946881019e-01 2.214504020e+00
6.978193142e-01 2.212569366e+00
7.009646401e-01 2.210619333e+00
7.041241430e-01 2.208653475e+00
7.072978870e-01 2.206672173e+00
7.104859362e-01 2.204674745e+00
7.136883551e-01 2.202661376e+00
7.169052085e-01 2.200631775e+00
7.201365614e-01 2.198586345e+00
7.233824792e-01 2.196524441e+00
7.266430276e-01 2.194446407e+00
7.299182724e-01 2.192351629e+00
7.332082799e-01 2.190240303e+00
7.365131167e-01 2.188112065e+00
7.398328496e-01 2.185967249e+00
7.431675457e-01 2.183805381e+00
7.465172726e-01 2.181626694e+00
7.498820978e-01 2.179430794e+00
7.532620896e-01 2.177217563e+00
7.566573162e-01 2.174986643e+00
7.600678463e-01 2.172738554e+00
7.634937490e-01 2.170472831e+00
7.669350934e-01 2.168189434e+00
7.703919492e-01 2.165888073e+00
7.738643864e-01 2.163568966e+00
7.773524751e-01 2.161231601e+00
7.808562858e-01 2.158876120e+00
7.843758895e-01 2.156502427e+00
7.879113574e-01 2.154110510e+00
7.914627609e-01 2.151699888e+00
7.950301718e-01 2.149270661e+00
7.986136624e-01 2.146822828e+00
8.022133051e-01 2.144356102e+00
8.058291726e-01 2.141870353e+00
8.094613383e-01 2.139365529e+00
8.131098754e-01 2.136841557e+00
8.167748577e-01 2.134298290e+00
8.204563595e-01 2.131735637e+00
8.241544552e-01 2.129153555e+00
8.278692195e-01 2.126551594e+00
8.316007277e-01 2.123929987e+00
8.353490551e-01 2.121288333e+00
8.391142775e-01 2.118626959e+00
8.428964712e-01 2.115945387e+00
8.466957127e-01 2.113243680e+00
8.505120786e-01 2.110521422e+00
8.543456464e-01 2.107778875e+00
8.581964934e-01 2.105015661e+00
8.620646976e-01 2.102231912e+00
8.659503372e-01 2.099427307e+00
8.698534908e-01 2.096601847e+00
8.737742373e-01 2.093755240e+00
8.777126561e-01 2.090887648e+00
8.816688268e-01 2.087998744e+00
8.856428293e-01 2.085088561e+00
8.896347441e-01 2.082156756e+00
8.936446520e-01 2.079203531e+00
8.976726339e-01 2.076228506e+00
9.017187715e-01 2.073231693e+00
9.057831464e-01 2.070212890e+00
9.098658410e-01 2.067172158e+00
9.139669378e-01 2.064109129e+00
9.180865197e-01 2.061024074e+00
9.222246701e-01 2.057916479e+00
9.263814726e-01 2.054786415e+00
9.305570113e-01 2.051633745e+00
9.347513707e-01 2.048458507e+00
9.389646356e-01 2.045260377e+00
9.431968913e-01 2.042039428e+00
9.474482232e-01 2.038795282e+00
9.517187175e-01 2.035528086e+00
9.560084604e-01 2.032237611e+00
9.603175388e-01 2.028923888e+00
9.646460397e-01 2.025586602e+00
9.689940508e-01 2.022225840e+00
9.733616599e-01 2.018841348e+00
9.777489555e-01 2.015433189e+00
9.821560262e-01 2.012001054e+00
9.865829611e-01 2.008545052e+00
9.910298499e-01 2.005064913e+00
9.954967824e-01 2.001560670e+00
9.999838491e-01 1.998032089e+00
1.004491141e+00 1.994479180e+00
1.009018748e+00 1.990901751e+00
1.013566763e+00 1.987299885e+00
1.018135278e+00 1.983673236e+00
1.022724384e+00 1.980021881e+00
1.027334175e+00 1.976345635e+00
1.031964745e+00 1.972644541e+00
1.036616186e+00 1.968918356e+00
1.041288593e+00 1.965167099e+00
1.045982060e+00 1.961390508e+00
